TP9,AF7,AF8,TP10,Right AUX,Color
-38.574,34.668,34.668,-8.789,74.707,0
79.59,31.25,31.738,14.16,61.035,0
-10.254,34.18,36.133,-4.395,67.383,0
-19.043,33.691,37.598,6.348,40.527,0
159.18,24.902,34.668,70.801,56.641,0
-59.082,27.344,29.297,-14.16,53.711,0
-41.016,38.086,34.18,-9.766,66.895,0
-57.617,34.668,37.598,3.906,-19.531,0
-53.223,38.574,39.062,-1.953,36.133,0
-22.461,39.551,36.621,1.953,48.34,0
-35.645,33.203,34.668,9.766,-28.32,0
-60.547,33.203,35.645,-8.789,20.508,0
155.762,34.18,35.156,70.312,68.359,0
77.637,35.645,39.551,48.828,49.805,0
-59.082,35.645,33.203,-22.949,24.414,0
-62.988,29.785,33.691,-31.738,26.367,0
47.363,32.227,39.062,15.625,49.316,0
83.496,31.738,38.086,43.457,42.48,0
14.16,33.691,36.133,13.184,44.434,0
-67.871,32.227,38.574,-11.23,24.902,0
134.277,32.227,35.156,52.246,16.602,0
31.738,21.484,37.598,10.254,20.02,0
120.117,24.414,42.48,51.758,-17.578,0
41.992,30.273,35.156,9.766,18.066,0
15.625,27.344,35.156,-11.23,-25.391,0
85.938,32.715,37.598,28.32,-10.254,0
-57.129,29.785,34.668,7.812,-8.301,0
136.23,29.785,37.109,77.637,78.125,0
-80.078,29.785,36.133,-18.066,13.184,0
113.77,33.203,32.227,71.289,99.121,0
-37.109,32.715,32.715,9.766,49.316,0
-48.34,31.738,31.25,-8.789,51.27,0
40.527,36.621,34.668,40.039,46.875,0
-48.34,36.621,37.598,13.672,1.465,0
-9.277,33.203,39.062,29.785,39.062,0
44.434,39.062,34.668,32.715,34.18,0
142.578,35.645,33.203,67.383,65.43,0
-51.27,30.762,38.086,0.977,11.719,0
-76.66,32.715,37.598,-9.766,3.418,0
-1.953,33.691,35.645,15.137,51.27,0
135.742,33.691,36.133,67.383,33.691,0
-65.43,35.645,35.156,-4.395,-7.324,0
35.156,34.668,39.062,32.227,-2.93,0
-3.418,36.621,40.039,22.461,-11.719,0
107.91,32.715,32.227,58.105,-8.301,0
-64.453,35.156,34.668,-8.789,-16.113,0
-82.52,34.18,35.645,-11.719,18.555,0
23.926,31.738,32.715,15.625,-24.902,0
-44.434,32.227,37.109,9.766,-1.465,0
90.82,31.25,34.668,58.594,44.922,0
70.312,35.645,34.18,45.41,55.664,0
-11.23,39.062,35.645,0.977,50.781,0
156.25,36.133,35.645,80.078,92.773,0
-66.406,35.645,36.133,-5.371,37.598,0
-56.641,39.551,38.086,-20.508,-36.133,0
14.648,33.203,35.645,-18.066,63.965,0
-64.453,33.203,38.574,-38.086,51.27,0
-25.391,27.832,39.551,-23.438,37.598,0
15.625,35.645,35.645,-4.883,6.836,0
104.492,32.715,35.156,36.133,36.133,0
132.324,30.762,36.621,40.039,24.902,0
74.707,29.297,37.598,26.855,40.039,0
148.926,31.25,33.691,49.805,80.078,0
-71.289,29.297,40.527,-32.715,-5.371,0
34.18,32.715,35.156,16.113,30.273,0
-75.195,35.645,33.691,1.953,46.387,0
-43.457,34.18,41.504,6.836,21.973,0
-65.43,35.156,35.156,-15.625,32.227,0
2.93,30.273,37.598,20.508,-9.766,0
126.953,30.273,30.762,62.5,22.461,0
8.301,32.227,34.668,20.508,23.438,0
-29.297,34.668,34.18,1.465,-1.953,0
